iter	Passed	Remaining
0	150	150688
1	153	76625
2	156	51872
3	158	39524
4	161	32091
5	163	27159
6	166	23651
7	169	20988
8	171	18928
9	174	17281
10	177	15939
11	179	14803
12	182	13845
13	184	13018
14	187	12312
15	189	11674
16	192	11106
17	194	10604
18	196	10160
19	199	9758
20	201	9393
21	203	9060
22	206	8755
23	208	8478
24	210	8220
25	213	7991
26	215	7779
27	217	7559
28	219	7351
29	221	7161
30	223	6982
31	225	6815
32	227	6659
33	229	6510
34	231	6386
35	234	6266
36	236	6150
37	238	6039
38	241	5939
39	243	5840
40	245	5741
41	247	5641
42	249	5553
43	251	5460
44	253	5376
45	255	5295
46	257	5216
47	259	5141
48	260	5061
49	262	4990
50	264	4926
51	266	4866
52	269	4810
53	271	4762
54	274	4716
55	276	4666
56	279	4620
57	281	4571
58	283	4514
59	284	4451
60	285	4392
61	287	4350
62	289	4305
63	291	4260
64	293	4215
65	294	4170
66	296	4128
67	297	4076
68	299	4036
69	301	4000
70	303	3966
71	304	3930
72	306	3893
73	308	3856
74	309	3820
75	311	3787
76	313	3754
77	314	3721
78	317	3697
79	319	3673
80	321	3646
81	323	3617
82	324	3590
83	326	3563
84	327	3530
85	329	3504
86	331	3476
87	333	3455
88	335	3429
89	336	3400
90	337	3371
91	338	3342
92	339	3315
93	341	3288
94	342	3261
95	343	3236
96	345	3214
97	347	3198
98	349	3180
99	351	3161
100	353	3142
101	354	3117
102	355	3099
103	357	3080
104	359	3063
105	361	3051
106	363	3037
107	365	3020
108	367	3004
109	369	2988
110	371	2973
111	373	2957
112	375	2945
113	377	2933
114	379	2920
115	381	2903
116	382	2889
117	384	2875
118	386	2858
119	387	2845
120	390	2833
121	392	2823
122	393	2805
123	395	2792
124	397	2779
125	398	2767
126	400	2754
127	401	2737
128	403	2725
129	405	2716
130	408	2706
131	409	2695
132	411	2684
133	413	2672
134	415	2661
135	417	2649
136	419	2639
137	420	2628
138	422	2619
139	424	2608
140	426	2597
141	428	2586
142	429	2576
143	431	2565
144	433	2554
145	435	2546
146	436	2535
147	438	2523
148	439	2512
149	441	2500
150	442	2488
151	444	2477
152	445	2465
153	446	2454
154	448	2444
155	450	2437
156	452	2427
157	454	2419
158	455	2410
159	457	2401
160	459	2392
161	460	2384
162	462	2376
163	464	2369
164	466	2361
165	468	2354
166	470	2346
167	472	2338
168	474	2331
169	475	2322
170	477	2313
171	478	2305
172	480	2299
173	482	2290
174	483	2280
175	485	2272
176	486	2263
177	488	2255
178	490	2247
179	491	2240
180	492	2229
181	494	2221
182	495	2213
183	497	2206
184	499	2199
185	500	2191
186	502	2184
187	504	2177
188	505	2169
189	507	2161
190	508	2155
191	510	2149
192	512	2143
193	514	2136
194	515	2128
195	517	2122
196	518	2114
197	520	2107
198	521	2100
199	523	2093
200	525	2088
201	527	2082
202	528	2076
203	530	2069
204	532	2063
205	533	2057
206	535	2051
207	537	2045
208	538	2039
209	540	2033
210	542	2028
211	544	2022
212	546	2017
213	547	2012
214	549	2006
215	551	2000
216	552	1994
217	554	1989
218	556	1984
219	558	1978
220	559	1973
221	561	1966
222	562	1961
223	564	1955
224	566	1950
225	567	1944
226	569	1940
227	571	1933
228	572	1927
229	573	1920
230	575	1914
231	576	1907
232	577	1901
233	578	1895
234	580	1889
235	581	1882
236	583	1877
237	584	1871
238	586	1865
239	587	1860
240	588	1854
241	589	1847
242	591	1841
243	592	1835
244	593	1829
245	594	1823
246	596	1817
247	597	1812
248	599	1808
249	601	1803
250	602	1798
251	604	1794
252	606	1789
253	607	1784
254	609	1779
255	610	1775
256	612	1770
257	614	1766
258	615	1761
259	616	1755
260	618	1750
261	619	1744
262	620	1739
263	622	1734
264	623	1728
265	624	1723
266	625	1718
267	627	1714
268	629	1709
269	630	1704
270	631	1699
271	632	1693
272	634	1688
273	635	1683
274	636	1678
275	637	1673
276	639	1668
277	640	1663
278	642	1659
279	644	1656
280	645	1652
281	647	1648
282	648	1644
283	650	1640
284	652	1635
285	653	1632
286	655	1628
287	656	1623
288	658	1619
289	659	1614
290	660	1610
291	662	1605
292	663	1600
293	664	1595
294	665	1590
295	666	1585
296	667	1580
297	668	1575
298	670	1571
299	671	1566
300	672	1562
301	673	1557
302	675	1553
303	676	1549
304	678	1545
305	679	1540
306	680	1536
307	681	1531
308	682	1526
309	683	1521
310	684	1517
311	686	1513
312	687	1508
313	688	1504
314	690	1500
315	691	1497
316	693	1494
317	695	1490
318	696	1487
319	698	1483
320	699	1479
321	701	1476
322	702	1472
323	704	1469
324	705	1465
325	707	1462
326	708	1458
327	710	1455
328	711	1451
329	713	1448
330	714	1444
331	715	1440
332	716	1435
333	717	1431
334	718	1427
335	720	1423
336	721	1419
337	722	1414
338	723	1410
339	724	1406
340	725	1402
341	726	1398
342	728	1395
343	729	1391
344	730	1387
345	731	1383
346	732	1379
347	734	1375
348	735	1371
349	736	1367
350	737	1363
351	738	1359
352	739	1355
353	740	1351
354	742	1348
355	743	1344
356	744	1340
357	745	1336
358	746	1332
359	747	1329
360	748	1325
361	749	1321
362	750	1317
363	752	1314
364	753	1310
365	754	1306
366	755	1302
367	756	1299
368	757	1295
369	758	1292
370	760	1288
371	761	1285
372	762	1281
373	763	1277
374	764	1274
375	765	1270
376	767	1267
377	768	1264
378	769	1260
379	770	1256
380	771	1253
381	772	1250
382	773	1246
383	775	1243
384	776	1239
385	777	1236
386	778	1233
387	779	1229
388	780	1226
389	781	1222
390	782	1219
391	783	1215
392	784	1212
393	786	1208
394	787	1205
395	788	1202
396	789	1198
397	790	1195
398	791	1192
399	792	1189
400	793	1185
401	795	1182
402	796	1179
403	797	1176
404	798	1172
405	799	1169
406	800	1166
407	801	1163
408	802	1160
409	804	1157
410	805	1153
411	806	1150
412	807	1147
413	808	1144
414	809	1141
415	810	1138
416	812	1135
417	813	1132
418	814	1129
419	815	1126
420	817	1123
421	818	1120
422	819	1118
423	821	1115
424	822	1113
425	824	1110
426	826	1108
427	828	1106
428	829	1104
429	831	1102
430	833	1100
431	834	1097
432	836	1095
433	838	1093
434	840	1091
435	841	1088
436	843	1086
437	844	1084
438	846	1082
439	848	1079
440	850	1077
441	851	1075
442	853	1072
443	854	1070
444	856	1068
445	858	1065
446	859	1063
447	860	1060
448	862	1057
449	863	1055
450	864	1052
451	866	1050
452	867	1047
453	868	1044
454	870	1042
455	871	1039
456	872	1037
457	874	1034
458	875	1031
459	876	1029
460	878	1026
461	879	1024
462	880	1021
463	882	1019
464	883	1016
465	884	1014
466	886	1011
467	887	1009
468	889	1006
469	890	1004
470	892	1001
471	893	999
472	894	996
473	896	994
474	897	991
475	898	989
